Time,ch1,ch1_Interpolated,ch7,ch8,rssi
06/07/2014 00:41:04.997831000,25.3591175079,,25.8199996948,50.3199996948,-54
06/07/2014 00:41:09.999653000,25.299282074,,25.8199996948,50.3100013733,-54
06/07/2014 00:41:14.996722000,25.3004779816,,25.8199996948,50.3100013733,-54
06/07/2014 00:41:19.997122000,25.3100719452,,25.8199996948,50.2799987793,-54
06/07/2014 00:41:24.995863000,25.3150501251,,25.7999992371,50.2799987793,-55
06/07/2014 00:41:29.996375000,25.3067493439,,25.8099994659,50.2799987793,-55
06/07/2014 00:41:34.996262000,25.3123760223,,25.8099994659,50.2799987793,-54
06/07/2014 00:41:39.998193000,25.3179092407,,25.7999992371,50.2799987793,-54
06/07/2014 00:41:44.995932000,25.2501316071,,25.7999992371,50.2700004578,-54
06/07/2014 00:41:49.998298000,25.2663650513,,25.7999992371,50.2700004578,-54
06/07/2014 00:41:54.996299000,25.2587985992,,25.7999992371,50.2700004578,-55
06/07/2014 00:41:59.997564000,25.2671031952,,25.7900009155,50.2700004578,-54
06/07/2014 00:42:04.997825000,25.25548172,,25.7900009155,50.2700004578,-55
06/07/2014 00:42:09.997683000,25.2707939148,,25.7900009155,50.2400016785,-54
06/07/2014 00:42:14.996238000,25.2744808197,,25.7800006866,50.2400016785,-55
06/07/2014 00:42:19.995939000,25.2730979919,,25.7800006866,50.2400016785,-55
06/07/2014 00:42:24.996341000,25.2753105164,,25.7900009155,50.2400016785,-55
06/07/2014 00:42:29.996151000,25.2746677399,,25.7800006866,50.2099990845,-54
06/07/2014 00:42:34.995838000,25.2718086243,,25.7700004578,50.2400016785,-55
06/07/2014 00:42:39.998847000,25.2828788757,,25.7800006866,50.2400016785,-54
06/07/2014 00:42:44.995977000,25.2866573334,,25.7800006866,50.2099990845,-54
06/07/2014 00:42:49.999714000,25.2796478271,,25.7700004578,50.2400016785,-55
06/07/2014 00:42:54.997112000,25.2860145569,,25.7600002289,50.2099990845,-55
06/07/2014 00:42:56.927269000,25.2876777649,,25.7600002289,50.2099990845,-55
06/07/2014 00:43:04.995844000,25.290348053,,25.7600002289,50.2099990845,-55
06/07/2014 00:43:09.995566000,25.3009548187,,25.7600002289,50.2099990845,-54
06/07/2014 00:43:14.996275000,25.3134040833,,25.75,50.2099990845,-54
06/07/2014 00:43:19.997093000,25.3007717133,,25.7399997711,50.2099990845,-54
06/07/2014 00:43:24.999089000,25.2986507416,,25.7600002289,50.1800003052,-55
06/07/2014 00:43:30.001422000,25.3086128235,,25.75,50.1800003052,-55
06/07/2014 00:43:35.005859000,25.2449874878,,25.7399997711,50.1699981689,-54
06/07/2014 00:43:40.045882000,25.2341957092,,25.7399997711,50.1699981689,-55
06/07/2014 00:43:45.086121000,25.2479400635,,25.7399997711,50.2000007629,-55
06/07/2014 00:43:50.106253000,25.2533836365,,25.7199993134,50.1699981689,-55
06/07/2014 00:43:55.137865000,25.2512588501,,25.7399997711,50.1699981689,-54
06/07/2014 00:44:00.146690000,25.1879062653,,25.7299995422,50.1599998474,-63
06/07/2014 00:44:05.146051000,25.2543029785,,25.7099990845,50.1699981689,-53
06/07/2014 00:44:10.148197000,25.1962032318,,25.7000007629,50.1599998474,-55
06/07/2014 00:44:15.135848000,25.1971302032,,25.7199993134,50.1599998474,-58
06/07/2014 00:44:20.128762000,25.1938095093,,25.7099990845,50.1300010681,-64
06/07/2014 00:44:25.117383000,25.199432373,,25.7199993134,50.1300010681,-53
06/07/2014 00:44:30.106876000,25.199804306,,25.7000007629,50.1300010681,-54
06/07/2014 00:44:35.095826000,25.1996192932,,25.7099990845,50.1300010681,-60
06/07/2014 00:44:45.087847000,25.2082920074,,25.7000007629,50.1300010681,-57
06/07/2014 00:44:50.076739000,25.2119789124,,25.6900005341,50.0999984741,-67
06/07/2014 00:44:55.079429000,25.2204685211,,25.6800003052,50.0600013733,-50
06/07/2014 00:45:00.078607000,25.2055206299,,25.6900005341,50.0600013733,-46
06/07/2014 00:45:05.077828000,25.1966667175,,25.6800003052,50,-52
06/07/2014 00:45:10.088188000,25.2377166748,,25.6800003052,49.2999992371,-41
06/07/2014 00:45:15.086580000,25.2872486115,,25.6800003052,48.2099990845,-40
06/07/2014 00:45:20.087728000,25.3003463745,,25.6700000763,47.6300010681,-50
06/07/2014 00:45:25.088448000,25.2935199738,,25.6700000763,46.7599983215,-36
06/07/2014 00:45:30.098433000,25.2555179596,,25.6599998474,45.9199981689,-57
06/07/2014 00:45:35.097069000,25.1842365265,,25.6599998474,45.2400016785,-60
06/07/2014 00:45:40.098856000,25.1553592682,,25.6399993896,45.1100006104,-77
06/07/2014 00:45:55.096176000,25.0213317871,,25.6299991608,47.3600006104,-71
06/07/2014 00:46:00.095863000,24.980091095,,25.6399993896,47.9399986267,-70
06/07/2014 00:46:05.098511000,24.9294376373,,25.6200008392,48.4199981689,-77
06/07/2014 00:46:10.096029000,24.8178806305,,25.6200008392,48.9900016785,-71
06/07/2014 00:46:15.095832000,24.6206626892,,25.6100006104,49.4700012207,-69
06/07/2014 00:46:20.096055000,24.6046066284,,25.6100006104,49.9199981689,-84
06/07/2014 00:46:25.097155000,24.5096302032,,25.6000003815,50.2999992371,-77
06/07/2014 00:46:30.095912000,24.400062561,,25.5900001526,50.5900001526,-74
06/07/2014 00:46:35.098065000,24.3780002594,,25.5900001526,50.6899986267,-63
06/07/2014 00:46:40.096196000,24.3414421082,,25.5799999237,50.9399986267,-76
06/07/2014 00:46:45.095903000,24.3236236572,,25.5599994659,51.3199996948,-81
06/07/2014 00:46:50.095810000,24.3001766205,,25.5499992371,51.5099983215,-74
06/07/2014 00:46:55.099662000,24.2324085236,,25.5300006866,51.5800018311,-71
06/07/2014 00:47:00.096058000,24.1702709198,,25.5200004578,51.5099983215,-76
06/07/2014 00:47:05.095743000,24.1181030273,,25.5,51.5400009155,-74
06/07/2014 00:47:10.096705000,24.0952949524,,25.4799995422,51.5800018311,-79
06/07/2014 00:47:15.098184000,24.0725803375,,25.4599990845,51.5400009155,-73
06/07/2014 00:47:20.098327000,23.9733276367,,25.4500007629,51.5,-82
06/07/2014 00:47:25.095964000,23.698184967,,25.4400005341,51.5400009155,-60
06/07/2014 00:47:30.095845000,23.5635948181,,25.4099998474,51.5,-54
06/07/2014 00:47:35.099425000,23.2920722961,,25.3999996185,51.4900016785,-65
06/07/2014 00:47:40.097401000,23.2275676727,,25.3600006104,51.2700004578,-86
06/07/2014 00:47:45.097260000,22.9618587494,,25.3500003815,51.3400001526,-62
06/07/2014 00:47:50.099475000,22.603717804,,25.3199996948,51.5600013733,-60
06/07/2014 00:47:55.096604000,22.6234130859,,25.2999992371,51.5600013733,-70
06/07/2014 00:48:00.099771000,22.5492572784,,25.2700004578,51.4900016785,-78
06/07/2014 00:48:05.095754000,22.4887809753,,25.25,51.4300003052,-71
06/07/2014 00:48:10.095986000,22.4367160797,,25.2199993134,51.4000015259,-74
06/07/2014 00:48:15.103807000,22.382894516,,25.2000007629,51.3699989319,-74
06/07/2014 00:48:20.095754000,22.3334197998,,25.1700000763,51.3400001526,-74
06/07/2014 00:48:25.100422000,22.2226352692,,25.1499996185,51.3899993896,-74
06/07/2014 00:48:30.096078000,22.1756477356,,25.1200008392,51.4199981689,-74
06/07/2014 00:48:35.099787000,22.130689621,,25.1000003815,51.4199981689,-74
06/07/2014 00:48:40.097088000,22.0162849426,,25.0599994659,51.4500007629,-74
06/07/2014 00:48:45.099033000,21.9568881989,,25.0300006866,51.4799995422,-73
06/07/2014 00:48:50.097599000,21.8852825165,,25.0100002289,51.5699996948,-74
06/07/2014 00:48:55.096321000,21.8300437927,,24.9699993134,51.6399993896,-73
06/07/2014 00:49:00.097621000,21.7938652039,,24.9400005341,51.6699981689,-74
06/07/2014 00:49:05.096238000,21.735200882,,24.8999996185,51.7299995422,-73
06/07/2014 00:49:10.096216000,21.6282463074,,24.8700008392,51.7200012207,-75
06/07/2014 00:49:15.100162000,21.5867862701,,24.8600006104,51.75,-74
06/07/2014 00:49:20.096220000,21.4812049866,,24.8199996948,51.8100013733,-74
06/07/2014 00:49:25.099012000,21.441778183,,24.7999992371,51.8400001526,-75
06/07/2014 00:49:30.096310000,21.4114189148,,24.7600002289,51.9000015259,-74
06/07/2014 00:49:35.095861000,21.3458824158,,24.7199993134,51.9700012207,-75
06/07/2014 00:49:40.097309000,21.3158950806,,24.7000007629,52.0600013733,-74
06/07/2014 00:49:45.096556000,21.2071418762,,24.6700000763,52.1800003052,-72
06/07/2014 00:49:50.096570000,21.1804790497,,24.6399993896,52.2799987793,-73
06/07/2014 00:49:55.095907000,21.0655078888,,24.6100006104,52.2999992371,-73
06/07/2014 00:50:00.097872000,21.036901474,,24.5799999237,52.2700004578,-74
06/07/2014 00:50:05.095814000,20.9916248322,,24.5400009155,52.2700004578,-73
06/07/2014 00:50:10.095831000,20.9628276825,,24.5200004578,52.3300018311,-73
06/07/2014 00:50:15.097940000,20.8425598145,,24.4799995422,52.3199996948,-73
06/07/2014 00:50:20.095859000,20.7337646484,,24.4599990845,52.4099998474,-74
06/07/2014 00:50:25.095604000,20.6958866119,,24.4200000763,52.5,-75
06/07/2014 00:50:30.096442000,20.6532802582,,24.3799991608,52.5699996948,-74
06/07/2014 00:50:35.104739000,20.633644104,,24.3600006104,52.5999984741,-74
06/07/2014 00:50:40.096558000,20.5796432495,,24.3199996948,52.6300010681,-75
06/07/2014 00:50:42.027401000,20.4962024689,,24.2999992371,52.7200012207,-73
06/07/2014 00:50:50.096497000,20.3967285156,,24.2700004578,52.7999992371,-74
06/07/2014 00:50:55.098498000,20.3634700775,,24.2199993134,52.9000015259,-74
06/07/2014 00:51:00.099438000,20.3425331116,,24.1900005341,52.9900016785,-75
06/07/2014 00:51:05.095842000,20.3120517731,,24.1599998474,53.0900001526,-74
06/07/2014 00:51:10.100960000,20.2214603424,,24.1399993896,53.2000007629,-74
06/07/2014 00:51:15.096985000,20.1399421692,,24.1000003815,53.1899986267,-74
06/07/2014 00:51:20.096470000,20.105840683,,24.0799999237,53.2299995422,-74
06/07/2014 00:51:25.097462000,20.0864715576,,24.0400009155,53.2900009155,-74
06/07/2014 00:51:30.095832000,20.0261669159,,24.0100002289,53.3100013733,-74
06/07/2014 00:51:35.095997000,19.9956798553,,23.9899997711,53.3400001526,-73
06/07/2014 00:51:40.096588000,19.9206295013,,23.9500007629,53.3300018311,-75
06/07/2014 00:51:45.096132000,19.900888443,,23.9300003052,53.4300003052,-73
06/07/2014 00:51:50.098839000,19.8913402557,,23.8999996185,53.4900016785,-75
06/07/2014 00:51:55.095928000,19.8193473816,,23.8700008392,53.5800018311,-76
06/07/2014 00:51:57.026160000,19.7255630493,,23.8299999237,53.7299995422,-75
06/07/2014 00:52:05.097198000,19.7162036896,,23.7999992371,53.8800010681,-75
06/07/2014 00:52:10.098787000,19.7036876678,,23.7800006866,53.9500007629,-75
06/07/2014 00:52:15.096283000,19.7023944855,,23.7600002289,54.0699996948,-73
06/07/2014 00:52:20.097380000,19.6243572235,,23.7199993134,54.0900001526,-73
06/07/2014 00:52:30.097096000,19.5452136993,,23.6599998474,54.1800003052,-74
06/07/2014 00:52:35.099169000,19.5465068817,,23.6299991608,54.2400016785,-75
06/07/2014 00:52:40.096952000,19.4603042603,,23.6000003815,54.2599983215,-73
06/07/2014 00:52:45.095458000,19.4001522064,,23.5799999237,54.2900009155,-73
06/07/2014 00:52:50.095538000,19.3960704803,,23.5400009155,54.2900009155,-74
06/07/2014 00:52:55.096505000,19.3867053986,,23.5200004578,54.3499984741,-74
06/07/2014 00:53:00.097775000,19.3857784271,,23.4799995422,54.3800010681,-73
06/07/2014 00:53:05.095807000,19.328868866,,23.4599990845,54.4700012207,-73
06/07/2014 00:53:10.095865000,19.2481193542,,23.4300003052,54.4900016785,-76
06/07/2014 00:53:15.096984000,19.2533130646,,23.3999996185,54.5200004578,-75
06/07/2014 00:53:20.095876000,19.2382907867,,23.3600006104,54.5800018311,-75
06/07/2014 00:53:25.095600000,19.1873989105,,23.3400001526,54.5999984741,-75
06/07/2014 00:53:30.095915000,19.1087799072,,23.3099994659,54.6599998474,-74
06/07/2014 00:53:35.099529000,19.1200942993,,23.2800006866,54.6899986267,-73
06/07/2014 00:53:40.096989000,19.1233386993,,23.2600002289,54.75,-75
06/07/2014 00:53:45.095779000,19.0507392883,,23.2199993134,54.7999992371,-73
06/07/2014 00:53:50.099207000,18.9883403778,,23.1900005341,54.9199981689,-75
06/07/2014 00:53:55.098289000,18.9624652863,,23.1599998474,55.0099983215,-73
06/07/2014 00:54:00.097870000,18.9617233276,,23.1499996185,55.1399993896,-74
06/07/2014 00:54:05.096082000,18.9431724548,,23.1000003815,55.2299995422,-73
06/07/2014 00:54:10.097537000,18.8835487366,,23.0799999237,55.2900009155,-74
06/07/2014 00:54:15.097597000,18.8054618835,,23.0499992371,55.3699989319,-75
06/07/2014 00:54:25.097604000,18.8101959229,,22.9899997711,55.5,-73
06/07/2014 00:54:30.095701000,18.757522583,,22.9599990845,55.5200004578,-73
06/07/2014 00:54:35.096219000,18.685552597,,22.9400005341,55.5400009155,-74
06/07/2014 00:54:40.097274000,18.6919555664,,22.8999996185,55.5999984741,-74
06/07/2014 00:54:45.097647000,18.7049407959,,22.8799991608,55.6300010681,-75
06/07/2014 00:54:55.095973000,18.558391571,,22.8299999237,55.7999992371,-74
06/07/2014 00:55:00.096069000,18.5665550232,,22.7999992371,55.8899993896,-74
06/07/2014 00:55:05.096180000,18.5720329285,,22.7600002289,55.9599990845,-74
06/07/2014 00:55:10.096462000,18.5065441132,,22.7399997711,55.9799995422,-73
06/07/2014 00:55:15.095676000,18.4439296722,,22.7199993134,56,-74
06/07/2014 00:55:20.096851000,18.4518184662,,22.6800003052,56.0600013733,-74
06/07/2014 00:55:25.096484000,18.442445755,,22.6499996185,56.1199989319,-74
06/07/2014 00:55:30.095531000,18.4384555817,,22.6100006104,56.1899986267,-74
06/07/2014 00:55:35.096967000,18.3752803802,,22.6000003815,56.2700004578,-75
06/07/2014 00:55:40.097511000,18.317489624,,22.5699996948,56.3199996948,-74
06/07/2014 00:55:45.099460000,18.3140544891,,22.5300006866,56.4500007629,-74
06/07/2014 00:55:50.097967000,18.3183231354,,22.5100002289,56.4799995422,-74
06/07/2014 00:55:55.096969000,18.2475318909,,22.4799995422,56.5600013733,-73
06/07/2014 00:56:00.099410000,18.1907539368,,22.4500007629,56.5800018311,-73
06/07/2014 00:56:05.095976000,18.2047691345,,22.4200000763,56.6500015259,-75
06/07/2014 00:56:10.100067000,18.2141418457,,22.3799991608,56.7099990845,-74
06/07/2014 00:56:15.095636000,18.1536502838,,22.3700008392,56.7900009155,-74
06/07/2014 00:56:20.097335000,18.1169128418,,22.3400001526,56.8400001526,-74
06/07/2014 00:56:25.096145000,18.1157073975,,22.3199996948,56.8800010681,-74
06/07/2014 00:56:30.095886000,18.1319503784,,22.2800006866,56.9399986267,-74
06/07/2014 00:56:35.098610000,18.0585479736,,22.2600002289,57.0200004578,-75
06/07/2014 00:56:40.097177000,18.0231132507,,22.2299995422,57.1399993896,-75
06/07/2014 00:56:45.097306000,18.0490112305,,22.1900005341,57.1699981689,-75
06/07/2014 00:56:50.097536000,18.0511436462,,22.1800003052,57.2599983215,-73
06/07/2014 00:56:55.099014000,17.9911060333,,22.1399993896,57.3100013733,-74
06/07/2014 00:57:00.098225000,17.9333877563,,22.1200008392,57.3300018311,-76
06/07/2014 00:57:05.096717000,17.9404430389,,22.1000003815,57.3899993896,-75
06/07/2014 00:57:10.096656000,17.9572429657,,22.0599994659,57.4900016785,-75
06/07/2014 00:57:15.098670000,17.9219875336,,22.0499992371,57.5999984741,-75
06/07/2014 00:57:20.097277000,17.8529415131,,22.0200004578,57.6500015259,-75
06/07/2014 00:57:25.095631000,17.8750324249,,21.9899997711,57.7099990845,-75
06/07/2014 00:57:30.097080000,17.8896999359,,21.9699993134,57.7799987793,-75
06/07/2014 00:57:35.096080000,17.8333702087,,21.9300003052,57.7999992371,-76
06/07/2014 00:57:40.096662000,17.7687759399,,21.9099998474,57.8499984741,-75
06/07/2014 00:57:45.098593000,17.7971801758,,21.8799991608,58,-75
06/07/2014 00:57:50.098754000,17.8022861481,,21.8500003815,58.1599998474,-75
06/07/2014 00:57:55.097343000,17.753288269,,21.8299999237,58.2400016785,-75
06/07/2014 00:58:00.096822000,17.6973247528,,21.7999992371,58.2599983215,-75
06/07/2014 00:58:05.098699000,17.7123622894,,21.7700004578,58.2900009155,-75
06/07/2014 00:58:10.098994000,17.7198848724,,21.7399997711,58.3800010681,-75
06/07/2014 00:58:15.097289000,17.7308387756,,21.7099990845,58.4199981689,-75
06/07/2014 00:58:20.098693000,17.6818370819,,21.6900005341,58.5,-75
